Load;Heat;Wind
350.8190477;739.2453432;6.3775
336.363006;746.2194313;5.72
326.1458262;736.6186721;7.38
320.4154313;713.3500915;6.285
318.0769783;686.5898212;7.155
318.1359441;673.5279007;5.4425
319.7826607;666.6488569;6.155
329.4095006;676.6001607;5.7575
345.9383925;723.9080003;5.3125
367.4127618;802.2358423;7.7875
377.3719928;832.3709036;4.4425
377.1988196;833.2748038;7.92
378.2842465;820.7505529;6.72
378.7977241;805.7571818;6.415
377.6568995;807.677915;4.165
377.7654226;825.9210426;4.8875
377.5992099;838.1803935;4.6375
381.0188848;826.5838039;2.6675
393.2551988;825.4811528;2.5075
404.7152464;791.7015555;4.7575
400.106523;755.3444759;1.825
394.236265;718.9411212;3.9
389.7665786;680.2320434;6.4425
380.9748646;641.6194981;7.8775
364.761907;633.2835387;14.655
351.9559784;619.1907656;19.74
343.384525;612.0343269;37.575
337.6936579;602.5917984;56.1775
333.1436231;579.8108894;61.6325
329.9125729;572.3389399;76.635
332.5327058;553.3704737;68.1075
340.2939239;567.4001195;81.735
357.0204837;583.3432547;83.5225
378.0020487;622.3509749;57.3925
383.9851538;615.8806607;45.4375
379.8053875;609.3797986;52.2675
378.745906;613.0468424;65.92
379.5513562;624.6170815;78.5075
378.9352355;623.6788936;104.7825
378.8862467;631.289746;114.1025
376.9256438;646.3609184;110.6725
378.0373268;660.0752097;93.6775
388.6729129;687.4585912;86.4225
402.7775737;708.0853034;86.0175
398.5054974;703.2596065;61.7025
393.1412009;699.1419607;58.4075
386.3616998;679.1230833;62.52
376.0885559;654.8993473;52.74
360.2591624;625.7627327;43.805
346.1548992;611.6899864;43.49
335.1929933;599.4892351;34.1725
328.849911;598.4632405;33.2225
326.0146131;590.1289002;19.4525
325.433423;587.8699573;11.005
326.596976;578.7041087;6.67
333.4199726;565.5748395;5.295
351.02419;590.8822118;5.1375
372.3429612;622.6094397;3.805
380.4444723;609.56961;3.5475
377.3904503;592.3557835;3.4425
378.3153822;595.3515448;6.2475
379.4532153;594.9442182;6.325
377.9977081;582.0759162;8.065
379.0836897;613.8808975;9.6075
378.7843586;685.4268907;11.0325
380.7074424;745.3510296;14.8775
388.914532;773.0186212;13.18
400.8525203;770.3075684;9.95
395.7559583;747.484037;7.3125
389.150697;710.4425857;12.085
380.8396566;717.7831236;15.02
372.8023808;686.4688772;21.625
356.2637662;672.4123123;29.1
341.4555274;637.6167266;36.5325
331.0446833;625.5433012;50.09
324.9873717;626.118301;56.31
321.6911153;614.2328707;62.2775
321.0208667;604.6269144;73.22
323.8297237;598.1593253;96.6225
330.1955053;605.8948177;80.8
347.6009939;653.1113786;61.255
370.2532804;724.7701994;58.93
378.4719339;761.7282141;54.505
375.1101642;773.0054849;62.925
375.6567591;749.8319707;73.405
376.4390261;736.475254;76.465
374.6989559;723.0526259;74.3925
373.7033452;744.4965036;74.2225
373.6443028;739.4574914;88.4175
371.5965881;791.807651;86.3175
377.8434461;845.0739169;68.7775
391.6575095;847.0408245;38.8625
385.7580157;827.6336845;19.0275
379.1508342;811.9022382;17.09
372.6251887;782.7351124;10.87
365.8392111;781.9434549;9.8975
353.9555167;738.4264014;8.015
343.1229144;690.5916411;7.63
333.4819545;671.9747489;10.2
328.9591962;676.6927901;13.285
325.189945;695.7000463;12.0725
323.3922386;675.2338713;9.435
324.2938605;645.5146741;9.965
327.1635394;637.3040184;11.0275
333.6956301;629.411199;11.78
343.5452223;660.2546568;15.075
355.3361492;693.5024975;25.225
361.3342326;723.0566715;27.0525
364.7597391;750.5611538;33.09
364.9291149;757.0705634;35.49
366.3792863;753.7042988;36.0175
364.780255;747.5629685;46.6375
363.730522;771.3305545;40.115
364.2396365;794.0696908;38.0175
373.6851784;772.2281193;34.7775
389.2334725;760.4464884;25.0775
385.0697065;761.5871037;19.24
378.5765526;766.0077822;24.725
372.8590912;739.8107223;34.7925
368.7550844;728.6070532;42.58
359.769275;717.7813375;48.565
350.1379859;706.5478015;44.9275
341.9363475;709.3729363;39.4575
336.24106;699.7067021;36.1725
332.9849217;675.7826567;37.3725
331.6473789;662.5790511;34.145
333.3915991;663.8806885;28.78
335.7925093;668.5628125;16.145
340.7419105;684.0619139;6.9475
349.0681438;712.7108058;5.245
357.6979423;746.7340645;2.6125
363.9004685;781.3806075;4.35
369.7265457;770.7232191;7.3925
373.7780417;757.7742162;4.4975
377.2465829;734.714574;9.685
378.1576457;732.9977605;9.1475
